DaysToMaturity,Strike,ImpliedVolatility
833,105.0,0.9666
833,110.0,0.9304000000000001
833,115.0,0.8928
833,120.0,0.868
833,125.0,0.8251999999999999
833,130.0,0.8187000000000001
833,135.0,0.7757999999999999
861,100.0,0.9406
861,105.0,0.8972
861,120.0,0.804
861,125.0,0.7889
861,130.0,0.7582
861,135.0,0.7368000000000001
861,140.0,0.7040000000000001
896,105.0,0.8621
896,110.0,0.8240999999999999
896,115.0,0.8001999999999999
896,120.0,0.7601
896,125.0,0.748
896,130.0,0.7192000000000001
896,135.0,0.6994
924,85.0,0.9709
924,90.0,0.9216
924,95.0,0.8715999999999999
924,100.0,0.8626
924,105.0,0.8105
924,110.0,0.7965000000000001
924,115.0,0.7556999999999999
952,85.0,0.9275
952,90.0,0.892
952,95.0,0.8534
952,100.0,0.8340000000000001
952,105.0,0.7848
952,110.0,0.7615999999999999
952,115.0,0.7502
1015,105.0,0.7515000000000001
1015,110.0,0.7201000000000001
1015,115.0,0.7014
1015,120.0,0.6747
1015,125.0,0.6662
1015,130.0,0.6464
1015,135.0,0.6267
1105,85.0,0.7993000000000001
1105,90.0,0.7719
1105,95.0,0.7445999999999999
1105,100.0,0.7440000000000001
1105,105.0,0.7076
1105,110.0,0.6848000000000001
1105,115.0,0.6758
